,id,Station,Boro,2019,2023,GTFS Stop ID,Station ID,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,Lat,Long,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference,POINT,BLOCK GROUP,TRACT,DISTANCE
356,176,Lafayette Av (C),B,"1,599,887","1,252,720",A43,176,IND,8th Av - Fulton St,Lafayette Av,Bk,FALSE,C,Subway,40.686113,-73.973946,Manhattan,Outbound,0,0,0,,POINT (-73.973946 40.686113),POINT (-73.973946 40.686113),360470181003,36047018100,0.069517870256503
357,613,"Lexington Av (N,Q,R)/59 St (4,5,6)",M,"16,760,813","11,691,818",629,400,IRT,Lexington Av,59 St,M,TRUE,4 5 6,Subway,40.762526,-73.967967,Uptown,Downtown,0,0,0,,POINT (-73.967967 40.762526),POINT (-73.967967 40.762526),360610114021,36061011402,0.01775423794477835
358,613,"Lexington Av (N,Q,R)/59 St (4,5,6)",M,"16,760,813","11,691,818",R11,7,BMT,Astoria,Lexington Av/59 St,M,TRUE,N R W,Subway,40.76266,-73.967258,Queens,Downtown,0,0,0,,POINT (-73.967258 40.76266),POINT (-73.967258 40.76266),360610114021,36061011402,0.01845297168479233
359,612,"Lexington Av-53 St (E,M)/51 St (6)",M,"18,957,465","11,339,465",630,401,IRT,Lexington Av,51 St,M,TRUE,6,Subway,40.757107,-73.97192,Uptown,Downtown,1,1,1,,POINT (-73.97192 40.757107),POINT (-73.97192 40.757107),360610100001,36061010000,0.012279953135086927
360,612,"Lexington Av-53 St (E,M)/51 St (6)",M,"18,957,465","11,339,465",F11,275,IND,Queens Blvd,Lexington Av/53 St,M,TRUE,E M,Subway,40.757552,-73.969055,Queens,Downtown,1,1,1,,POINT (-73.969055 40.757552),POINT (-73.969055 40.757552),360610098002,36061009800,0.01517847584574642
361,223,"Lexington Av-63 St (F,Q)",M,"6,567,634","3,736,349",B08,223,IND,63rd St,Lexington Av/63 St,M,FALSE,F Q,Subway,40.764629,-73.966113,Uptown & Queens,Downtown,1,1,1,,POINT (-73.966113 40.764629),POINT (-73.966113 40.764629),360610120002,36061012000,0.02036168485169036
362,185,Liberty Av (C),B,"833,633","497,050",A52,185,IND,8th Av - Fulton St,Liberty Av,Bk,FALSE,C,Subway,40.674542,-73.896548,Manhattan,Outbound,0,0,0,,POINT (-73.896548 40.674542),POINT (-73.896548 40.674542),360471198001,36047119800,0.1187655693709221
363,135,Livonia Av (L),B,"856,615","590,252",L26,135,BMT,Canarsie,Livonia Av,Bk,FALSE,L,Elevated,40.664038,-73.900571,Manhattan,Canarsie,1,1,1,,POINT (-73.900571 40.664038),POINT (-73.900571 40.664038),360470910004,36047091000,0.12335437197359264
364,372,Longwood Av (6),Bx,"949,680","686,670",614,372,IRT,Pelham,Longwood Av,Bx,FALSE,6,Subway,40.816104,-73.896435,Northbound,Manhattan,0,0,0,,POINT (-73.896435 40.816104),POINT (-73.896435 40.816104),360050085001,36005008500,0.10683425874222216
365,99,"Lorimer St (J,M)",B,"1,747,990","890,789",M13,99,BMT,Jamaica,Lorimer St,Bk,FALSE,M J,Elevated,40.703869,-73.947408,Outbound,Manhattan,0,0,0,,POINT (-73.947408 40.703869),POINT (-73.947408 40.703869),360470491001,36047049100,0.0627944060008541
